State,City,Service,Channel,FCC,Station,Broadcast Branding,Link,FacID,licensee,lms_application_id
California,Clovis,Radio,89.3,http://transition.fcc.gov/fcc-bin/fmq?facid=72188,/station-view/KVPR-FM,Valley Public Radio,https://cpb.org/sites/default/files/station_logos/kvpr_fm.gif,72188,"WHITE ASH BROADCASTING, INC.",cada4c0a2e7d466ebdd6c1b6063ebeb7
California,McCloud,Radio,91.9,http://transition.fcc.gov/fcc-bin/fmq?facid=61355,/station-view/KSOR-FM,Jefferson Public Radio,https://cpb.org/sites/default/files/station_logos/kldd_fm.gif,61355,SOUTHERN OREGON UNIVERSITY,1559a340e52346d4913cc1b6063ebeb7
California,Rio Dell,Radio,102.5,http://transition.fcc.gov/fcc-bin/fmq?facid=17412,/station-view/KSOR-FM,Jefferson Public Radio,https://cpb.org/sites/default/files/station_logos/knht_fm.gif,17412,SOUTHERN OREGON UNIVERSITY,adea6f837a5c470d8304c1b6063ebeb7
California,Yreka,Radio,91.3,http://transition.fcc.gov/fcc-bin/fmq?facid=62967,/station-view/KSOR-FM,Jefferson Public Radio,https://cpb.org/sites/default/files/station_logos/knyr_fm.gif,62967,SOUTHERN OREGON UNIVERSITY,d608cf53b8fc4ea0b219c1b6063ebeb7
California,Rohnert Park,TV,23,http://transition.fcc.gov/fcc-bin/tvq?facid=57945,/station-view/KRCB-TV,KRCB TV,https://cpb.org/sites/default/files/station_logos/krcb-color-logo-vdt09AR.png,57945,RURAL CALIFORNIA BROADCASTING CORP.,25076ff371dbd95d0171e02bdf2a02fa
California,Eureka,TV,13,http://transition.fcc.gov/fcc-bin/tvq?facid=55435,/station-view/KEET-TV,13 KEET Public Television for the North Coast,https://cpb.org/sites/default/files/station_logos/KEET.gif,55435,"REDWOOD EMPIRE PUBLIC TELEVISION, INC.",958f7b9a98d84622b733cf6212b6c0ea
California,Fresno,TV,32,http://transition.fcc.gov/fcc-bin/tvq?facid=69733,/station-view/KVPT-TV,Valley PBS,https://cpb.org/sites/default/files/station_logos/ValleyPBS_rgb_color.jpg,69733,"VALLEY PUBLIC TELEVISION, INC.",25076f91667cad1801668c8212e80f86
California,Burbank,TV,28,http://transition.fcc.gov/fcc-bin/tvq?facid=13058,/station-view/KCET-TV,KCET,https://cpb.org/sites/default/files/station_logos/KCET_Logo_0.png,13058,,
California,Los Angeles,TV,58,http://transition.fcc.gov/fcc-bin/tvq?facid=38430,/station-view/KLCS-TV,KLCS-TV The Education Station,https://cpb.org/sites/default/files/station_logos/KLCS.gif,38430,LOS ANGELES UNIFIED SCHOOL DISTRICT,25076f9181403dc2018143c3fa7a0176
California,Redding,TV,9.1,http://transition.fcc.gov/fcc-bin/tvq?facid=47285,/station-view/KIXE-TV,KIXE,https://cpb.org/sites/default/files/station_logos/kixe-color-logo-7Binmxd.png,47285,"NORTHERN CALIFORNIA EDUCATIONAL TELEVISION ASSOCIATION, INC",32cd4fe9196a46e8bb8bcf6212b6c0ea
California,Chico,TV,18,http://transition.fcc.gov/fcc-bin/tvq?facid=47285,/station-view/KIXE-TV,KIXE,https://cpb.org/sites/default/files/station_logos/KIXE.gif,47285,"NORTHERN CALIFORNIA EDUCATIONAL TELEVISION ASSOCIATION, INC",32cd4fe9196a46e8bb8bcf6212b6c0ea
California,Sacramento,TV,6,http://transition.fcc.gov/fcc-bin/tvq?facid=35855,/station-view/KVIE-TV,KVIE Public Television,https://cpb.org/sites/default/files/station_logos/KVIE.gif,35855,"KVIE, INC.",25076ff37ba373a3017bc6527dad2965
California,San Bernardino,TV,24,http://transition.fcc.gov/fcc-bin/tvq?facid=58795,/station-view/KVCR-TV,KVCR DT,https://cpb.org/sites/default/files/station_logos/KVCR.gif,58795,SAN BERNARDINO COMMUNITY COLLEGE DISTRICT,25076f916992d6500169bb2b4a984c17
California,San Diego,TV,19,http://transition.fcc.gov/fcc-bin/tvq?facid=6124,/station-view/KPBS-TV,KPBS TV,https://cpb.org/sites/default/files/station_logos/kpbs-color-logo-VYoMNDb.png,6124,"BOARD OF TRUSTEES, CALIFORNIA STATE UNIVERSITY FOR SAN DIEGO STATE UNIVERSITY",25076f916992d6500169c056c1905e3b
